01:19:05 on Nov 05 2021 join | princepines joined
11:50:24 on Dec 14 2021 command | princepines: /setworldspawn
11:50:37 on Dec 14 2021 command | princepines: /customareas
11:51:36 on Dec 14 2021 command | princepines: /ca pos1
11:51:47 on Dec 14 2021 command | princepines: /ca pos2
11:51:52 on Dec 14 2021 command | princepines: /ca create
11:53:03 on Dec 14 2021 command | princepines: /ca
11:53:09 on Dec 14 2021 command | princepines: /ca create
11:54:33 on Dec 14 2021 command | princepines: /ca pos1
11:54:44 on Dec 14 2021 command | princepines: /ca pos2
11:54:52 on Dec 14 2021 command | princepines: /ca create spawn
12:00:08 on Dec 14 2021 quit | princepines quit
12:18:25 on Dec 14 2021 join | Ericson2006 joined
12:18:44 on Dec 14 2021 command | Ericson2006: /gamemode c
12:19:41 on Dec 14 2021 join | JamPIayzMC joined
12:20:10 on Dec 14 2021 command | JamPIayzMC: /gamemode c
12:20:16 on Dec 14 2021 command | JamPIayzMC: /time set day 
12:20:38 on Dec 14 2021 chat | Ericson2006: jusko
12:20:41 on Dec 14 2021 chat | Ericson2006: stop!
12:20:47 on Dec 14 2021 chat | JamPIayzMC: oke
12:20:54 on Dec 14 2021 chat | JamPIayzMC: anong theme ba
12:20:56 on Dec 14 2021 chat | Ericson2006: pulitin mo yan bwesit ka HAHA
12:21:02 on Dec 14 2021 chat | JamPIayzMC: HAHA
12:21:08 on Dec 14 2021 command | JamPIayzMC: /gamemode survival
12:21:10 on Dec 14 2021 chat | Ericson2006: *pulutin
12:21:20 on Dec 14 2021 chat | Ericson2006: isa
12:21:20 on Dec 14 2021 command | JamPIayzMC: /gamemode c
12:22:02 on Dec 14 2021 chat | JamPIayzMC: wow
12:22:09 on Dec 14 2021 chat | JamPIayzMC: may malaking lake HAHA
12:22:33 on Dec 14 2021 chat | Ericson2006: samahan moko dito hayp nabyan nag lalakbay pa :()
12:23:03 on Dec 14 2021 command | JamPIayzMC: /gamerule showcoordinates true
12:24:29 on Dec 14 2021 chat | Ericson2006: patagin mo dito
12:25:13 on Dec 14 2021 chat | Ericson2006: hoy!
12:25:52 on Dec 14 2021 chat | JamPIayzMC: umihi ako sorna
12:29:34 on Dec 14 2021 command | JamPIayzMC: /time set day 
12:30:23 on Dec 14 2021 chat | Ericson2006: lagyan mo pati ilalalim :)
12:32:53 on Dec 14 2021 chat | Ericson2006: awit Haha
12:33:11 on Dec 14 2021 chat | Ericson2006: maganda ba tong naisip ko? HAHA
12:33:21 on Dec 14 2021 chat | Ericson2006: apat ma biome
12:33:22 on Dec 14 2021 chat | JamPIayzMC: ewan ko dipatapos HAHA
12:33:25 on Dec 14 2021 chat | JamPIayzMC: hmm
12:37:33 on Dec 14 2021 chat | Ericson2006: ang panget HAHA
12:37:39 on Dec 14 2021 chat | Ericson2006: may alam kapang iba?
12:37:51 on Dec 14 2021 chat | JamPIayzMC: gayahin nalang yung sa gubat
12:37:54 on Dec 14 2021 chat | JamPIayzMC:  DHHEHSJSJA
12:38:01 on Dec 14 2021 chat | JamPIayzMC: wag na
12:38:03 on Dec 14 2021 chat | Ericson2006: gagu castle spawn non
12:38:06 on Dec 14 2021 chat | JamPIayzMC: walang originality
12:38:08 on Dec 14 2021 chat | JamPIayzMC: HAHAHAHA
12:38:21 on Dec 14 2021 chat | Ericson2006: Gagu meron
12:38:38 on Dec 14 2021 chat | Ericson2006: ako nay build ng castle duon ni retouch lang
12:38:45 on Dec 14 2021 chat | JamPIayzMC: HAHAHA
12:38:49 on Dec 14 2021 command | JamPIayzMC: /time set day 
12:43:27 on Dec 14 2021 chat | Ericson2006: ayun na
12:43:42 on Dec 14 2021 chat | Ericson2006: ang chaka HAHA
12:43:46 on Dec 14 2021 chat | JamPIayzMC: HAHAHA
12:44:38 on Dec 14 2021 chat | Ericson2006: kaya mo nether biome?
12:45:03 on Dec 14 2021 chat | JamPIayzMC: red or green
12:45:28 on Dec 14 2021 chat | Ericson2006: ano ba nether? doba netherrack? HAHA
12:45:35 on Dec 14 2021 chat | JamPIayzMC: inde i mean
12:45:41 on Dec 14 2021 chat | JamPIayzMC: yung green na puno or yung red
12:45:52 on Dec 14 2021 chat | Ericson2006: red malamang HAHA
12:45:59 on Dec 14 2021 chat | JamPIayzMC: oke
12:46:31 on Dec 14 2021 chat | Ericson2006: wag dyan
12:46:42 on Dec 14 2021 chat | JamPIayzMC: putek HAHA
12:46:47 on Dec 14 2021 chat | Ericson2006: wag muna lagyan ng black concrete jusko
12:47:03 on Dec 14 2021 chat | Ericson2006: may void ba ang nether diba wala?
12:47:14 on Dec 14 2021 chat | Ericson2006: wag mo lagyan ng black concrete!!!
12:47:28 on Dec 14 2021 chat | JamPIayzMC: teka l di HAHAHA
12:47:40 on Dec 14 2021 chat | Ericson2006: duon mo gawin 
12:48:07 on Dec 14 2021 command | Ericson2006: /time set day 
12:49:18 on Dec 14 2021 command | Ericson2006: /give Ericson2006 barrier_block
12:49:57 on Dec 14 2021 chat | JamPIayzMC: ang unte ng material sa ccrynson
12:50:08 on Dec 14 2021 chat | JamPIayzMC: ano nalang parang yung may blaze
12:50:16 on Dec 14 2021 chat | Ericson2006: yanga HAHA
12:50:20 on Dec 14 2021 chat | Ericson2006: onte lang
12:50:44 on Dec 14 2021 chat | Ericson2006: ano yan?
12:52:23 on Dec 14 2021 chat | JamPIayzMC: wala yung crymson log HAHA
12:53:18 on Dec 14 2021 chat | Ericson2006: gawa ka maliit na bundok
12:53:34 on Dec 14 2021 chat | Ericson2006: pa curve
12:56:04 on Dec 14 2021 chat | JamPIayzMC: ohh
12:57:32 on Dec 14 2021 chat | JamPIayzMC: brb kain ako penoy
12:57:33 on Dec 14 2021 quit | JamPIayzMC quit
12:58:01 on Dec 14 2021 quit | Ericson2006 quit
12:06:14 on Dec 15 2021 join | Ericson2006 joined
12:06:23 on Dec 15 2021 command | Ericson2006: /gamemode c
12:08:24 on Dec 15 2021 join | JamPIayzMC joined
12:08:39 on Dec 15 2021 chat | JamPIayzMC: test
12:08:51 on Dec 15 2021 command | JamPIayzMC: /gm c
12:08:57 on Dec 15 2021 command | JamPIayzMC: /gamemode c
12:09:40 on Dec 15 2021 chat | Ericson2006: mamaya na yan
12:10:05 on Dec 15 2021 chat | Ericson2006: gan dyan 
12:10:34 on Dec 15 2021 chat | Ericson2006: sinara yung gitna amp
12:10:35 on Dec 15 2021 chat | JamPIayzMC: sorry HAHAHA
12:10:58 on Dec 15 2021 chat | Ericson2006: wag mo sirain pota
12:16:37 on Dec 15 2021 chat | Ericson2006: lag ako?
12:16:45 on Dec 15 2021 chat | JamPIayzMC: diman
12:17:03 on Dec 15 2021 chat | Ericson2006: wth walang drop pag brebreak ako ng blocks HAHA
12:17:09 on Dec 15 2021 chat | JamPIayzMC: HAHAHA
12:17:22 on Dec 15 2021 command | JamPIayzMC: /time set day 
12:17:33 on Dec 15 2021 command | JamPIayzMC: /ga
12:21:24 on Dec 15 2021 command | JamPIayzMC: /replacenear grass dirt
12:26:46 on Dec 15 2021 command | JamPIayzMC: /time set day 
12:26:57 on Dec 15 2021 chat | JamPIayzMC: ayos HAHA
12:27:04 on Dec 15 2021 command | JamPIayzMC: /hub
12:27:10 on Dec 15 2021 command | JamPIayzMC: /spawn
12:30:42 on Dec 15 2021 quit | Ericson2006 quit
12:31:47 on Dec 15 2021 join | Ericson2006 joined
12:32:04 on Dec 15 2021 command | Ericson2006: /gamemode c
12:32:45 on Dec 15 2021 chat | Ericson2006: balik ako dito wait
12:33:08 on Dec 15 2021 chat | JamPIayzMC: wtf
12:33:10 on Dec 15 2021 chat | Ericson2006: brb muna
12:33:11 on Dec 15 2021 chat | JamPIayzMC: nvm
12:33:15 on Dec 15 2021 chat | JamPIayzMC: gegegege
12:33:27 on Dec 15 2021 quit | Ericson2006 quit
12:35:23 on Dec 15 2021 join | Ericson2006 joined
12:35:29 on Dec 15 2021 command | Ericson2006: /gamemode c
12:36:12 on Dec 15 2021 command | JamPIayzMC: /time set day 
12:39:11 on Dec 15 2021 chat | JamPIayzMC: teka
12:39:13 on Dec 15 2021 quit | JamPIayzMC quit
12:45:51 on Dec 15 2021 join | JamPIayzMC joined
12:45:58 on Dec 15 2021 chat | JamPIayzMC: yo
12:46:04 on Dec 15 2021 command | JamPIayzMC: /gamemode c
12:46:16 on Dec 15 2021 command | JamPIayzMC: /time set day 
12:46:50 on Dec 15 2021 chat | Ericson2006: wag na dyan
12:47:08 on Dec 15 2021 chat | JamPIayzMC: i cleclear kang para pantay HAHA
12:47:13 on Dec 15 2021 chat | Ericson2006: wag na
12:47:41 on Dec 15 2021 chat | Ericson2006: yung looban lagyan mo ng dark oak woods
12:50:11 on Dec 15 2021 chat | JamPIayzMC: ayos
12:51:27 on Dec 15 2021 chat | Ericson2006: alam mo symbol niyang apat na kulay dyan?
12:51:34 on Dec 15 2021 chat | JamPIayzMC: inde
12:51:37 on Dec 15 2021 chat | JamPIayzMC: HHAHAHA
12:52:03 on Dec 15 2021 chat | Ericson2006: napanood muna yung frozen 2?
12:52:07 on Dec 15 2021 chat | JamPIayzMC: nahh
12:52:09 on Dec 15 2021 chat | JamPIayzMC: HAHAHA
12:52:12 on Dec 15 2021 chat | Ericson2006: kung oo dapat alam mo HAHA
12:52:24 on Dec 15 2021 chat | JamPIayzMC: BAHAHHA
12:52:28 on Dec 15 2021 chat | Ericson2006: umh air,fire,water, earth
12:53:01 on Dec 15 2021 command | JamPIayzMC: /time set midnight 
12:53:06 on Dec 15 2021 command | JamPIayzMC: /time set day 
12:53:16 on Dec 15 2021 command | JamPIayzMC: /weather thunder 
12:55:42 on Dec 15 2021 chat | Ericson2006: mauna kana sa Disneyland sunod nako dun
12:55:48 on Dec 15 2021 chat | Ericson2006: chachat ko lang so lyco
12:56:20 on Dec 15 2021 command | JamPIayzMC: /me is now afk
12:56:25 on Dec 15 2021 quit | JamPIayzMC quit
12:56:51 on Dec 15 2021 quit | Ericson2006 quit
16:47:28 on Dec 15 2021 join | princepines joined
16:47:42 on Dec 15 2021 command | princepines: /gamemode c
16:48:20 on Dec 15 2021 command | princepines: /mw help
16:48:31 on Dec 15 2021 command | princepines: /pl
16:48:37 on Dec 15 2021 command | princepines: /area pos1
16:49:11 on Dec 15 2021 command | princepines: /area pos2
16:49:21 on Dec 15 2021 command | princepines: /area crw
16:49:31 on Dec 15 2021 command | princepines: /area create prot
16:49:39 on Dec 15 2021 command | princepines: /area flag prot
16:49:51 on Dec 15 2021 command | princepines: /area prot flag god true
16:50:01 on Dec 15 2021 command | princepines: /area flag prot god true
16:50:14 on Dec 15 2021 command | princepines: /area flag prot touch false
16:50:27 on Dec 15 2021 command | princepines: /area flag prot edit false
17:01:39 on Dec 15 2021 quit | princepines quit
12:37:21 on Dec 16 2021 join | princepines joined
12:37:50 on Dec 16 2021 command | princepines: /wild
12:37:58 on Dec 16 2021 command | princepines: /wild
12:39:33 on Dec 16 2021 join | princepines joined
12:39:44 on Dec 16 2021 command | princepines: /wildd
12:39:49 on Dec 16 2021 command | princepines: /wild
12:58:59 on Dec 16 2021 join | princepines joined
12:59:08 on Dec 16 2021 command | princepines: /d
12:59:15 on Dec 16 2021 command | princepines: /bal
12:59:41 on Dec 16 2021 command | princepines: /mystatus
13:00:45 on Dec 16 2021 command | princepines: /pay
13:05:00 on Dec 16 2021 command | princepines: /tell
13:10:35 on Dec 16 2021 command | princepines: /home
13:15:05 on Dec 16 2021 join | Ericson2006 joined
13:15:11 on Dec 16 2021 join | princepines joined
13:15:33 on Dec 16 2021 command | princepines: /pl
13:16:10 on Dec 16 2021 quit | Ericson2006 quit
13:18:09 on Dec 16 2021 command | princepines: /ban
13:23:51 on Dec 16 2021 join | princepines joined
13:24:04 on Dec 16 2021 command | princepines: /smhelp
13:26:00 on Dec 16 2021 join | princepines joined
13:26:08 on Dec 16 2021 command | princepines: /smhelp
13:28:52 on Dec 16 2021 join | princepines joined
13:29:06 on Dec 16 2021 command | princepines: /smhelp
13:30:54 on Dec 16 2021 command | princepines: /say ss
13:32:40 on Dec 16 2021 join | princepines joined
13:34:09 on Dec 16 2021 join | princepines joined
13:34:22 on Dec 16 2021 command | princepines: /cpsp
13:34:28 on Dec 16 2021 command | princepines: /cps
13:45:02 on Dec 16 2021 quit | princepines quit
02:59:43 on Dec 17 2021 join | ItzzCatzy joined
03:00:01 on Dec 17 2021 quit | ItzzCatzy quit
03:07:44 on Dec 17 2021 join | ItzzCatzy joined
03:07:58 on Dec 17 2021 command | ItzzCatzy: /smhelp
03:08:09 on Dec 17 2021 command | ItzzCatzy: /smhelp 
03:08:32 on Dec 17 2021 command | ItzzCatzy: /wild
03:09:02 on Dec 17 2021 command | ItzzCatzy: /wild
03:09:18 on Dec 17 2021 command | ItzzCatzy: /kill
03:11:12 on Dec 17 2021 command | ItzzCatzy: /wild
03:11:22 on Dec 17 2021 command | ItzzCatzy: /kill
03:11:41 on Dec 17 2021 quit | ItzzCatzy quit
05:32:24 on Dec 17 2021 join | Ericson2006 joined
05:32:39 on Dec 17 2021 quit | Ericson2006 quit
07:56:41 on Dec 17 2021 join | Ericson2006 joined
07:56:52 on Dec 17 2021 quit | Ericson2006 quit
08:00:21 on Dec 17 2021 join | princepines joined
08:00:49 on Dec 17 2021 command | princepines: /gamemode c
08:01:18 on Dec 17 2021 quit | princepines quit
11:04:21 on Dec 17 2021 join | NMCVoid joined
11:05:20 on Dec 17 2021 join | Hytlenz joined
11:05:26 on Dec 17 2021 chat | NMCVoid: hi
11:05:37 on Dec 17 2021 chat | Hytlenz: hello
11:05:51 on Dec 17 2021 join | Ericson2006 joined
11:06:02 on Dec 17 2021 command | Ericson2006: /gamemode c
11:06:03 on Dec 17 2021 chat | NMCVoid: just try lmao
11:06:08 on Dec 17 2021 command | Hytlenz: /gamemode c
11:06:35 on Dec 17 2021 join | ItzzCatzy joined
11:06:39 on Dec 17 2021 chat | NMCVoid: hi
11:06:50 on Dec 17 2021 command | ItzzCatzy: /seemoney
11:06:53 on Dec 17 2021 join | cringepapc69 joined
11:06:58 on Dec 17 2021 command | ItzzCatzy: /seemoney ItzzCatzy
11:07:03 on Dec 17 2021 command | Hytlenz: /f
11:07:11 on Dec 17 2021 command | Hytlenz: /perms
11:07:23 on Dec 17 2021 chat | cringepapc69: GAGO NAKAKACOMBO
11:07:41 on Dec 17 2021 command | Hytlenz: /shop
11:08:03 on Dec 17 2021 command | Hytlenz: /ver
11:08:09 on Dec 17 2021 chat | cringepapc69: eguls mobile
11:08:12 on Dec 17 2021 command | Hytlenz: /smhelp
11:08:21 on Dec 17 2021 chat | ItzzCatzy: kawawa
11:08:27 on Dec 17 2021 chat | NMCVoid: 1v1 me catzz
11:08:28 on Dec 17 2021 command | ItzzCatzy: /smhelp
11:08:29 on Dec 17 2021 chat | cringepapc69: tayo nalang ericson
11:08:35 on Dec 17 2021 chat | ItzzCatzy: tra
11:08:37 on Dec 17 2021 chat | Ericson2006: ayoko HAHA
11:08:40 on Dec 17 2021 chat | NMCVoid: catz go down here
11:08:41 on Dec 17 2021 chat | cringepapc69: bilis
11:08:47 on Dec 17 2021 chat | cringepapc69: babarilin kita
11:09:03 on Dec 17 2021 chat | NMCVoid: haha
11:09:04 on Dec 17 2021 quit | Ericson2006 quit
11:09:11 on Dec 17 2021 chat | cringepapc69: combT log
11:09:13 on Dec 17 2021 chat | cringepapc69: L
11:09:32 on Dec 17 2021 join | Yukishinaa joined
11:09:36 on Dec 17 2021 chat | NMCVoid: hi
11:09:39 on Dec 17 2021 chat | NMCVoid: hello
11:09:43 on Dec 17 2021 chat | cringepapc69: hi
11:09:46 on Dec 17 2021 chat | cringepapc69: cngle kb
11:09:47 on Dec 17 2021 chat | NMCVoid: hello
11:09:48 on Dec 17 2021 chat | Yukishinaa: hello
11:09:51 on Dec 17 2021 chat | cringepapc69: chrt
11:10:04 on Dec 17 2021 chat | cringepapc69: she laggy doe
11:10:16 on Dec 17 2021 chat | ItzzCatzy: void tra teamup
11:10:17 on Dec 17 2021 command | Hytlenz: /area
11:10:22 on Dec 17 2021 command | Hytlenz: /are here
11:10:24 on Dec 17 2021 chat | Yukishinaa: im so lag 204 ms
11:10:24 on Dec 17 2021 command | Hytlenz: /area here
11:10:28 on Dec 17 2021 chat | NMCVoid: same 
11:10:30 on Dec 17 2021 chat | ItzzCatzy: pag nalagyan na ng plugins
11:10:38 on Dec 17 2021 join | RianKyro joined
11:10:56 on Dec 17 2021 chat | cringepapc69: omg dalawang chix
11:11:02 on Dec 17 2021 chat | cringepapc69: juk
11:11:29 on Dec 17 2021 chat | ItzzCatzy: huhu wala na ako food
11:12:21 on Dec 17 2021 chat | ItzzCatzy: prince
11:12:26 on Dec 17 2021 chat | ItzzCatzy: penge food uwi
11:12:29 on Dec 17 2021 quit | Hytlenz quit
11:12:34 on Dec 17 2021 chat | NMCVoid: uwi hahaha
11:12:36 on Dec 17 2021 chat | ItzzCatzy: pls
11:12:44 on Dec 17 2021 chat | ItzzCatzy: gutom si garfield
11:12:58 on Dec 17 2021 command | ItzzCatzy: /home
11:13:07 on Dec 17 2021 chat | ItzzCatzy: wow may home
11:13:12 on Dec 17 2021 chat | NMCVoid: home?
11:13:12 on Dec 17 2021 chat | ItzzCatzy: guys do /home
11:13:15 on Dec 17 2021 command | ItzzCatzy: /smhelp
11:13:16 on Dec 17 2021 command | NMCVoid: /home
11:13:27 on Dec 17 2021 command | ItzzCatzy: /wild
11:13:29 on Dec 17 2021 chat | Yukishinaa: btw catzy
11:13:35 on Dec 17 2021 chat | ItzzCatzy: ano
11:13:43 on Dec 17 2021 chat | Yukishinaa: this is my alt im itseuclidph
11:13:49 on Dec 17 2021 chat | ItzzCatzy: woww
11:13:58 on Dec 17 2021 chat | ItzzCatzy: ikaw pala si euclid hahah
11:14:05 on Dec 17 2021 chat | Yukishinaa: yeas
11:14:06 on Dec 17 2021 chat | ItzzCatzy: wild is buggy bruh 
11:14:08 on Dec 17 2021 chat | ItzzCatzy: help 
11:14:13 on Dec 17 2021 quit | NMCVoid quit
11:14:19 on Dec 17 2021 chat | ItzzCatzy: oh no wala si eric
11:14:26 on Dec 17 2021 chat | ItzzCatzy: huhu
11:14:47 on Dec 17 2021 chat | cringepapc69: pasama sainyo cat uwu
11:14:48 on Dec 17 2021 chat | ItzzCatzy: brb mag advertise pa ako
11:14:52 on Dec 17 2021 chat | ItzzCatzy: mamaya
11:15:00 on Dec 17 2021 chat | ItzzCatzy: kapag may faction plugin na
11:15:10 on Dec 17 2021 chat | cringepapc69: ocakrs
11:15:11 on Dec 17 2021 chat | ItzzCatzy: mandudurog tau dto
11:15:17 on Dec 17 2021 chat | cringepapc69: HAHAHAHAHAHA
11:15:25 on Dec 17 2021 chat | ItzzCatzy: jok lang
11:15:31 on Dec 17 2021 chat | cringepapc69: magtatawag aq fac sweats
11:15:33 on Dec 17 2021 chat | ItzzCatzy: dudurugin tayo ni euclid
11:15:36 on Dec 17 2021 chat | ItzzCatzy: hahah
11:15:48 on Dec 17 2021 chat | cringepapc69: pvper yan? 
11:15:50 on Dec 17 2021 chat | cringepapc69: hala
11:15:54 on Dec 17 2021 chat | ItzzCatzy: yeah
11:16:00 on Dec 17 2021 chat | ItzzCatzy: win10 pvper hala
11:16:03 on Dec 17 2021 chat | ItzzCatzy: ahabahahaha
11:16:06 on Dec 17 2021 chat | ItzzCatzy: lugi
11:16:18 on Dec 17 2021 chat | cringepapc69: UMAY BAT PURO WIN10 KAYO
11:16:26 on Dec 17 2021 chat | cringepapc69: */naglaslas
11:16:40 on Dec 17 2021 chat | ItzzCatzy: */binaliktad yung laslas
11:16:43 on Dec 17 2021 chat | ItzzCatzy: lmao
11:16:45 on Dec 17 2021 chat | cringepapc69: wag
11:16:47 on Dec 17 2021 chat | cringepapc69: brb
11:16:49 on Dec 17 2021 chat | cringepapc69: bebetime
11:16:52 on Dec 17 2021 chat | cringepapc69: hahajuk
11:17:02 on Dec 17 2021 quit | cringepapc69 quit
11:17:18 on Dec 17 2021 chat | ItzzCatzy: brb guys
11:17:36 on Dec 17 2021 quit | ItzzCatzy quit
11:18:42 on Dec 17 2021 command | Yukishinaa: /cps disable
11:18:45 on Dec 17 2021 command | Yukishinaa: /mymoney
11:21:13 on Dec 17 2021 command | Yukishinaa: /suicide
11:21:35 on Dec 17 2021 command | Yukishinaa: /mymoney
11:26:46 on Dec 17 2021 join | ItzzCatzy joined
11:27:02 on Dec 17 2021 chat | ItzzCatzy: euclid
11:27:10 on Dec 17 2021 chat | Yukishinaa: wat?
11:27:13 on Dec 17 2021 chat | ItzzCatzy: team up tayo pag may factions plugin na
11:27:21 on Dec 17 2021 chat | ItzzCatzy: create tayo fac hehe
11:27:23 on Dec 17 2021 chat | Yukishinaa: uh sure
11:27:33 on Dec 17 2021 chat | ItzzCatzy: may foods kayo?
11:27:39 on Dec 17 2021 command | ItzzCatzy: /tpa Yuki
11:27:43 on Dec 17 2021 chat | RianKyro: wala
11:27:45 on Dec 17 2021 chat | ItzzCatzy: accept nga
11:27:45 on Dec 17 2021 chat | Yukishinaa: me farming
11:28:06 on Dec 17 2021 command | Yukishinaa: /tpaccept
11:28:32 on Dec 17 2021 command | ItzzCatzy: /smhelp
11:28:49 on Dec 17 2021 chat | ItzzCatzy: sethome ka
11:28:51 on Dec 17 2021 command | ItzzCatzy: /home
11:29:06 on Dec 17 2021 chat | ItzzCatzy: ok wait try ko magvote
11:29:12 on Dec 17 2021 command | Yukishinaa: /home
11:29:18 on Dec 17 2021 quit | ItzzCatzy quit
11:32:12 on Dec 17 2021 quit | Yukishinaa quit
11:36:14 on Dec 17 2021 quit | RianKyro quit
11:36:21 on Dec 17 2021 join | princepines joined
11:36:22 on Dec 17 2021 join | JamPIayzMC joined
11:37:08 on Dec 17 2021 command | princepines: /effect
11:37:15 on Dec 17 2021 command | princepines: /effect @a 0
11:37:28 on Dec 17 2021 command | princepines: /effect @a clear
11:37:29 on Dec 17 2021 chat | JamPIayzMC: where sila
11:37:31 on Dec 17 2021 chat | JamPIayzMC: HAHAHAS
11:37:35 on Dec 17 2021 chat | princepines: lol
11:37:39 on Dec 17 2021 command | princepines: //ci
11:37:40 on Dec 17 2021 command | JamPIayzMC: /time set day 
11:37:50 on Dec 17 2021 chat | JamPIayzMC: ang gamda ng lake dito HAHA
11:37:55 on Dec 17 2021 command | JamPIayzMC: /gamemode c
11:38:17 on Dec 17 2021 chat | JamPIayzMC: awit ang 
11:38:19 on Dec 17 2021 chat | JamPIayzMC: lake
11:38:26 on Dec 17 2021 chat | JamPIayzMC: ang lake ng lake
11:39:06 on Dec 17 2021 command | JamPIayzMC: /tp prince
11:39:28 on Dec 17 2021 chat | JamPIayzMC: if maglalaro kame dito?kelangan naka survival?HAHHA
11:41:03 on Dec 17 2021 command | JamPIayzMC: /tp kia
11:41:09 on Dec 17 2021 command | JamPIayzMC: /tp rian
11:41:13 on Dec 17 2021 command | princepines: /area list
11:41:20 on Dec 17 2021 command | princepines: /area
11:41:27 on Dec 17 2021 command | princepines: /area delete prot
11:41:40 on Dec 17 2021 command | princepines: /gamemode c
11:41:41 on Dec 17 2021 chat | JamPIayzMC: kuys pines
11:41:52 on Dec 17 2021 chat | JamPIayzMC: if maglalaro kami dito kelnagn survival den?HAHA
11:42:02 on Dec 17 2021 chat | princepines: oo builders kayo haha
11:42:07 on Dec 17 2021 chat | JamPIayzMC: oke HAHA
11:42:12 on Dec 17 2021 command | princepines: /effect @a clear
11:42:36 on Dec 17 2021 command | princepines: /area pos1
11:43:03 on Dec 17 2021 chat | RianKyro: pahingi pong food T-T
11:43:26 on Dec 17 2021 command | princepines: /give @a steak 32
11:43:32 on Dec 17 2021 chat | JamPIayzMC: ohh
11:43:45 on Dec 17 2021 chat | RianKyro: salamat poooo
11:44:08 on Dec 17 2021 chat | JamPIayzMC: brb emel muna ako tas grind na
11:44:41 on Dec 17 2021 chat | RianKyro: hello
11:44:47 on Dec 17 2021 chat | JamPIayzMC: hi
11:45:13 on Dec 17 2021 quit | JamPIayzMC quit
11:47:13 on Dec 17 2021 command | princepines: /pos2 here
11:47:20 on Dec 17 2021 command | princepines: /here
11:47:27 on Dec 17 2021 command | princepines: /are pos2 here
11:47:32 on Dec 17 2021 command | princepines: /area pos2
11:47:37 on Dec 17 2021 command | princepines: /ara here
11:48:04 on Dec 17 2021 command | RianKyro: /smh3
11:48:13 on Dec 17 2021 command | RianKyro: /smhelp
11:48:38 on Dec 17 2021 command | princepines: /area pos2
11:48:49 on Dec 17 2021 command | princepines: /area create prot
11:48:54 on Dec 17 2021 command | princepines: /are list
11:48:58 on Dec 17 2021 command | princepines: /area list
11:49:04 on Dec 17 2021 command | princepines: /area
11:49:15 on Dec 17 2021 command | princepines: /area flag prot god true
11:49:22 on Dec 17 2021 command | princepines: /area flag prot touch false
11:49:29 on Dec 17 2021 command | princepines: /area flag prot 
11:49:35 on Dec 17 2021 command | princepines: /area flag prot edit false
11:50:10 on Dec 17 2021 command | princepines: /deop princepines
11:50:27 on Dec 17 2021 command | princepines: /give steak @a 1
11:50:36 on Dec 17 2021 command | princepines: /give @a steak 1
11:50:48 on Dec 17 2021 command | princepines: /setgroup princepines Guest
11:51:00 on Dec 17 2021 chat | princepines: musta na kayo haha
11:51:06 on Dec 17 2021 chat | princepines: ayos na lobby surviavl natin
11:52:30 on Dec 17 2021 command | princepines: /setgroup princepines Owner
11:54:27 on Dec 17 2021 command | princepines: /slapper create human §lDo you need help?§r{line}do /smhelp on commands
12:09:56 on Dec 17 2021 join | JamPIayzMC joined
12:10:09 on Dec 17 2021 command | JamPIayzMC: /gamemode c
12:10:18 on Dec 17 2021 command | JamPIayzMC: /time set day 
12:13:34 on Dec 17 2021 quit | JamPIayzMC quit
12:14:40 on Dec 17 2021 join | RianKyro joined
12:16:37 on Dec 17 2021 join | PJZKIE6568 joined
12:18:17 on Dec 17 2021 command | RianKyro: /cps
12:18:44 on Dec 17 2021 quit | PJZKIE6568 quit
12:34:36 on Dec 17 2021 join | JamPIayzMC joined
12:38:52 on Dec 17 2021 command | JamPIayzMC: /tp rian
12:43:49 on Dec 17 2021 chat | RianKyro: kain
12:47:22 on Dec 17 2021 join | ItzzCatzy joined
12:47:30 on Dec 17 2021 chat | ItzzCatzy: hello po
12:47:36 on Dec 17 2021 chat | ItzzCatzy: sino may food need ko uwu
12:47:42 on Dec 17 2021 chat | ItzzCatzy: pls
12:47:48 on Dec 17 2021 chat | ItzzCatzy: jam may food ka?
12:47:52 on Dec 17 2021 command | ItzzCatzy: /tpa jam
12:48:02 on Dec 17 2021 chat | ItzzCatzy: i need help plss
12:48:19 on Dec 17 2021 chat | RianKyro: you ran out of pot
12:48:29 on Dec 17 2021 command | ItzzCatzy: /shop
12:48:41 on Dec 17 2021 chat | ItzzCatzy: Shopee
12:48:43 on Dec 17 2021 command | ItzzCatzy: /shop
12:48:56 on Dec 17 2021 command | ItzzCatzy: /shopee
12:49:15 on Dec 17 2021 command | ItzzCatzy: /shop
12:49:18 on Dec 17 2021 join | SuperCheeseC joined
12:49:22 on Dec 17 2021 chat | ItzzCatzy: hello
12:49:34 on Dec 17 2021 chat | RianKyro: hiii
12:49:37 on Dec 17 2021 chat | SuperCheeseC: hi
12:49:40 on Dec 17 2021 chat | ItzzCatzy: im hungry pls help
12:50:04 on Dec 17 2021 quit | ItzzCatzy quit
12:50:18 on Dec 17 2021 quit | SuperCheeseC quit
13:09:45 on Dec 17 2021 chat | JamPIayzMC: dinako afk HAHA
13:10:04 on Dec 17 2021 chat | RianKyro: Jan ka lang
13:10:08 on Dec 17 2021 chat | JamPIayzMC: dito ka mag babase?
13:10:20 on Dec 17 2021 chat | RianKyro: starter
13:12:53 on Dec 17 2021 command | JamPIayzMC: /shop
